miRNA,DRR041355,DRR041393,DRR041447,DRR041467,DRR041473,DRR041487,DRR041493,DRR041504,DRR041511,DRR041517,DRR041527,DRR041530,DRR041536,DRR041554,DRR041575,DRR041578,DRR041592,DRR041616,DRR041620,SRR1044598,SRR1264562,SRR1264563,SRR1264564,SRR1264565,SRR1264566,SRR1664893,SRR1664894,SRR1664895,SRR1664896,SRR1664897,SRR5127232,SRR543696,SRR543697,SRR543698,SRR543699,SRR543700,SRR5755825,SRR5755860,SRR5755895,SRR5755902,SRR5755909,SRR5755916,SRR5755923,SRR5755930,SRR5755937,SRR5755944,SRR5755951,SRR5755958,SRR5755965,SRR5755972,SRR5755979,SRR5755986,SRR5755993,SRR5756000,SRR5756007,SRR5756060,SRR5756067,SRR5756074,SRR5756081,SRR5756088,SRR5756095,SRR5756102,SRR5756109,SRR7545527,SRR7545528,SRR7545529,SRR8543902,SRR8543903,SRR8543904,SRR8543905,SRR8543906,SRR8543907,SRR8543908,SRR8543909,SRR8543910,SRR8543911,SRR8543912,SRR8543913,SRR8543914,SRR8543915,SRR8543916,SRR8543917,SRR8543918,SRR8543919,SRR8543920,SRR8543921,SRR8543922,SRR8543923,SRR8543924,SRR8543925,SRR8543926,SRR8543927,SRR8543928,SRR8543929,SRR8543930,SRR8543931,SRR8543932,SRR8543933,SRR8543934,SRR8543935,SRR8543936,SRR8543937,SRR8543938,SRR8543939,SRR8543940,SRR8543941,SRR8543942,SRR8543943,SRR8543944,SRR8543945,SRR8543946,SRR8543947,SRR8543948,SRR8543949,SRR8543950,SRR8543951,SRR8543952,SRR8543953,SRR8543954,SRR8543955,SRR8543956,SRR8543957,SRR8543958,SRR8543959,SRR8543960,SRR8543961,SRR8543962,SRR8543963,SRR8543964,SRR8543966,SRR8543967,SRR8543968,SRR8543969,SRR8543970,SRR8543971,SRR8543972,SRR8543973,SRR8543975,SRR8543976,SRR8543977,SRR8543979,SRR8543980,SRR8543981,SRR8543982,SRR8543983,SRR8543984,SRR8543985,SRR8543986,SRR8543987,SRR8543988,SRR965568
hsa-miR-21-5p,14.84692127,15.21931601,17.4153991,17.30977316,18.17333426,17.15621407,18.08582961,16.20906497,16.98757491,17.92502414,16.51816047,17.25265252,16.53579585,15.8767131,15.8683101,16.7343329,15.70690757,15.26065029,15.63479949,-4.577468404,14.11579324,14.763679,14.26634445,14.72368964,14.69904979,13.75802964,13.8176467,15.18662571,11.5116457,13.97720179,16.38892997,14.76351305,14.11579324,14.26614342,14.72368964,14.69866235,12.02146834,9.819972896,9.389955968,10.09571767,9.61343757,10.45228879,9.238743951,10.67738631,9.291105621,9.222029221,9.464920191,9.569411122,8.335747451,9.629832719,11.52294975,11.61395034,11.54365529,11.57078217,11.43474402,9.888570312,10.13479333,11.00180974,10.7516761,9.988701778,11.24104421,11.06048894,10.31841881,14.45107105,14.5968582,14.86727489,13.1075484,13.22609673,14.42306407,12.68533009,14.31693442,12.67394144,12.70265529,12.74332573,12.84519368,13.60468111,11.90098922,13.2601875,13.00658582,12.01795143,12.46808855,13.33815837,12.50787502,12.0104906,14.64747967,12.27417548,12.67605889,12.59049347,13.40579545,12.36579595,13.06084681,13.4757787,13.75000849,15.42215885,14.35139564,12.40437494,13.13619496,11.93515908,12.4964583,13.49766258,14.20194826,12.92168893,12.98331248,11.38886463,12.02991242,12.60721919,12.16544343,13.01584823,13.76467459,14.14139144,12.16080186,14.2727397,13.05454403,13.03633485,14.99188502,13.00285401,15.15605517,13.21859259,15.05514581,14.48394692,15.06872458,12.25466213,12.74772319,12.80481588,13.18346562,13.63145631,12.96134125,13.14227175,14.57748993,12.64275385,13.49666543,12.11753295,13.95654626,13.95990626,11.99165708,12.78436179,12.17627383,13.01169985,12.4427724,12.87292429,12.73816689,12.15217419,12.27290837,12.63493148,13.06336642,12.55516775,14.98077793,12.82829398,13.1386923,13.08139281,11.83918455
hsa-miR-92a-3p,12.35992303,14.90032566,13.12515047,14.29012559,14.46229971,14.53618094,13.29022656,14.79112782,14.49675084,13.47466826,14.07918183,14.12260673,13.64951116,13.72014692,14.52153445,14.26315596,13.97358472,15.34276676,15.20025003,15.57086647,9.936430432,10.38335565,7.176388596,7.356654819,7.253701276,20.05643926,20.29076898,20.46996098,19.91563241,20.33588686,19.79182961,10.38335565,9.936430432,7.176388596,7.356654819,7.253701276,17.11806223,14.42007468,14.82577987,15.44857565,15.60278164,15.10448373,14.47044065,16.21764775,14.83820266,14.92342165,14.85735674,15.39849166,14.51388002,15.12554881,17.03273631,17.11412698,16.87985951,16.81147626,16.25657269,15.02773449,15.63587579,16.4834343,16.09282264,15.53698728,16.63114693,16.01370657,15.43097114,18.41484377,18.52605814,18.67855095,10.23148895,9.430820308,10.13288061,9.437235561,9.905634226,9.372165366,8.470038156,8.664054599,8.669208689,9.29004839,7.818106486,9.875772008,9.10159067,8.924446463,9.148722233,9.68047564,8.936351656,9.369018311,9.318201236,9.190714882,9.840912458,9.478250739,9.993607521,9.541801511,9.77583057,9.059130022,10.1751439,10.45550912,9.593841886,9.044909707,8.299180266,8.56958065,9.232944084,9.745768876,10.01773636,8.88151676,8.220960017,8.978651709,9.93118212,9.743451187,8.525959607,9.640298269,9.952237811,9.759390066,9.27771289,9.99223916,9.922086978,9.399715665,10.37006958,10.33011175,9.971566506,9.685109284,10.29487846,9.811751945,9.920700225,9.374622664,9.062582486,9.463791652,9.887759328,9.421677993,8.581621492,9.165210199,9.950261064,9.368795225,9.626499516,8.51799623,9.667625725,9.643745748,8.638363661,9.215331247,8.393037227,9.13313463,10.08756178,7.889303264,8.177805187,8.366720556,8.728840853,9.499548676,10.03262861,8.523122221,10.29939515,9.499760055,8.946250094,8.948670332,9.549448491
hsa-let-7a-5p/7c-5p,14.84648869,16.96814973,17.15886107,15.98517645,16.82808816,16.1479428,16.77866684,15.1827968,15.87624003,16.94689638,15.95241317,17.78100565,17.38636775,17.28038092,16.85259324,17.48360027,16.99869492,15.70493517,17.81122794,16.58238954,15.88410784,16.57360747,15.20292965,15.60849055,15.57503896,18.21416687,18.68156726,18.96021645,16.76468055,18.299736,18.44862815,16.57356147,15.88401082,15.20292965,15.60849055,15.57475299,14.50113968,12.21411008,13.36611004,13.40257219,13.53031988,13.60361191,13.18910965,14.348872,12.77157069,13.15527554,13.25776601,13.48785066,13.27229534,13.45467155,14.70045152,14.71028753,14.35714081,14.2111578,13.90124254,12.70462941,14.05547616,15.01894345,14.83332296,14.08381556,15.20347474,14.3711102,13.73057815,17.10649,17.49257078,17.53116811,13.77774268,13.39088037,13.76159581,12.78021892,13.39095281,13.41115658,12.69404961,13.01275828,12.60793026,12.90959619,12.40418745,14.08539483,13.37760849,12.47442502,13.14648061,13.60649511,13.23832322,13.06362428,12.77965979,12.81486202,13.85668685,13.42714473,13.8116831,13.08572066,13.34854875,12.83632006,13.52970729,15.04936111,13.19001984,13.28759863,12.65480763,12.02488755,12.37860299,13.39730776,13.26574117,12.91171166,12.80543301,12.65787406,13.48392499,13.65351804,12.72090103,14.24459291,13.6671062,13.61578183,12.78135347,13.63096243,13.98876558,13.78818866,13.78466156,13.76851147,14.29767521,13.82297293,14.15535316,14.10457469,15.30557201,13.6937279,13.33866457,14.01563744,14.19258563,13.63826329,12.65187093,13.46948277,13.72689024,14.31133122,13.01047722,13.17413882,13.78514982,13.68100114,13.20954033,13.47763837,12.51843715,12.91807358,12.95416497,12.40508399,12.68871129,13.21149926,12.79080157,12.90869955,13.05491601,12.68610601,14.04364045,13.20547391,13.42493662,14.37784196,12.44713927
hsa-miR-22-3p,17.22751606,17.64499504,18.12816808,17.51146383,18.47096604,17.0129481,18.50971639,16.7198795,16.94686196,18.36878156,16.99528159,17.69672771,17.05780791,15.36703892,15.85171635,17.82689557,17.09858844,15.78460591,16.85370189,15.07608762,12.51802018,13.11643898,11.13501044,11.48347068,11.47549266,18.09367783,18.68181558,19.07946083,16.94326616,18.40420933,19.37683471,13.11643898,12.51758688,11.13501044,11.48347068,11.47549266,16.40642486,13.64658018,13.3352082,13.97678399,14.51907769,14.20604503,13.66275611,15.05364715,13.86801009,13.79543296,13.67779334,13.44502819,12.24709014,13.18154546,15.2300531,15.73085585,15.72580542,15.93670886,15.64843617,13.94972559,14.0645579,15.03082509,15.1977045,13.50642705,14.87022229,14.81922827,13.93212323,17.52650804,17.21555868,17.51296531,14.62998287,12.77840083,13.52614099,11.78930908,11.89833577,12.33024743,11.85156186,12.7984026,12.857723,12.42421186,12.7228909,13.71809517,12.13719185,11.37648765,12.71407365,13.76880384,13.00088477,12.65887468,12.45282254,12.70580631,13.02446202,12.63379683,12.41573181,12.57208595,13.91012511,12.25252693,12.93346434,12.78057247,12.55157241,11.75050913,12.05489792,11.8342452,13.25639063,13.14481704,12.47861454,12.81701441,13.03263133,13.12178001,12.61775245,13.25551744,11.92537472,12.37186338,13.03565252,13.78646697,12.27124218,12.68657553,13.53925046,12.31498099,12.64349384,12.76563099,13.94560868,13.50963201,13.34858595,13.42351206,13.05641574,12.48851985,11.8946488,13.24572352,13.68483277,12.43157628,11.57330407,12.95904127,12.4810667,12.82530118,12.05163664,11.97712351,12.00113622,12.7158447,12.66708871,12.1567464,12.32476682,11.5715415,11.64976885,11.84984257,11.76643522,13.66966494,12.25458164,12.84919166,12.08214931,13.02778353,12.04455296,11.58633415,12.04507691,12.47289492,8.38005185
hsa-let-7f-5p,14.0221359,14.87778774,15.68295551,15.37338793,15.76285288,14.61336987,15.61685433,14.97359322,14.44843657,16.04529863,13.66110895,16.45935934,15.92309023,15.60641122,15.33760758,16.38477995,16.26824586,15.21909574,16.3766045,17.27275698,11.99460293,12.74678194,13.34920666,13.85624898,13.78764755,19.11428224,19.22744439,19.73355243,17.11788431,19.05106264,19.3312175,12.74678194,11.994002,13.34920666,13.85624898,13.78764755,15.73485101,13.89714487,14.71389086,14.84485996,15.00306238,15.0283926,14.36017607,15.63136873,14.22535788,14.55772537,14.49738626,14.86182855,14.41017058,14.86125958,16.41617899,16.46479838,16.03671054,16.08553452,15.84695595,14.0162548,14.87160561,15.81878343,15.72041429,15.15847279,16.16064942,15.76387498,15.21921622,17.91743854,18.03228879,18.09663392,11.73250797,11.76184278,12.70942585,11.05176378,12.32321352,11.77929609,11.24541424,11.36530644,10.94186673,11.8004181,10.87969363,12.55092207,11.52741796,11.07878503,11.43778997,12.00609363,11.36623913,11.32091692,12.4058976,11.41865291,12.50222026,11.7832,12.21336648,11.20569625,11.69009607,11.23336168,11.97873042,13.40557396,12.22431634,11.37708487,11.22103907,10.49668995,10.87906786,11.72461907,12.28202135,11.49441199,11.33929883,10.8458984,12.01143243,12.02926536,11.23737429,12.38431059,12.29659191,12.44075014,10.88165672,12.56432865,12.44998178,12.12729057,13.09369573,11.90289507,13.20433242,11.99813249,13.0591811,13.06150283,13.58344502,11.82313291,11.7268088,12.07967091,11.99724271,12.24284463,11.11354831,11.64601,13.00259119,12.28532249,11.6828947,11.8917753,12.32097254,12.3051375,11.33061413,11.5429261,10.91406565,11.33983201,11.1390975,11.13810801,10.78146379,11.67292486,11.39735459,11.28308671,11.65700484,10.89735513,12.98290444,11.42540411,11.48299724,12.48616376,10.14425883
hsa-miR-26a-5p,14.57517552,15.94000265,15.73934564,14.80238597,16.05273003,14.50219545,15.99424581,14.53780131,14.167731,16.08707741,14.11743409,16.21086125,15.38844182,13.94146127,14.31225908,15.9058376,14.4600404,14.22009451,15.8366016,14.77538106,11.35229005,11.9555084,11.4295529,11.84669933,11.8256133,16.51053695,16.86643054,17.98457103,14.92151552,17.15755928,18.43498988,11.95501938,11.35138181,11.4295529,11.84669933,11.8256133,14.83610608,12.59085169,12.23098268,13.04396573,12.92423935,13.45734035,12.86713495,13.70738422,11.95422492,12.15690148,12.67862448,12.28519779,11.80829,12.52873762,14.36196647,14.691315,14.49177401,14.55119662,13.80378278,11.77874721,12.57266233,13.4520687,13.23276281,12.12016561,13.45848985,13.83111009,12.49418863,17.74553203,17.39315777,17.93934069,15.12097711,14.3929856,15.21194313,13.56143133,14.72231004,14.32369176,13.38222526,13.73712809,13.38739098,13.62149368,12.953063,14.51922106,13.84590084,12.62186035,13.9513853,14.4768881,13.65928657,13.78681022,14.28292913,13.66213759,13.98894516,13.9266561,14.21190338,13.63166073,13.944907,13.51271101,14.43593877,15.17897204,13.99886371,13.73796698,13.63604531,12.77808402,13.30710544,14.22324462,15.16522883,13.57466564,12.69442878,13.46074587,14.94924182,14.44198324,13.1639362,14.23297034,14.7540779,14.64354854,13.1702296,14.56843839,14.57652087,14.386743,14.64647599,14.22814127,14.97070591,13.81190194,15.49904966,15.07272883,15.32754923,14.08523361,13.53394211,14.29381751,14.83318796,14.3544669,13.46599822,13.82445554,14.48559379,14.21244494,13.75402964,14.1317074,14.29267936,14.69470721,13.91801427,13.7639461,13.19713524,13.27832772,13.49093642,13.13194198,13.1954172,13.86004894,13.38579451,13.42882986,14.32096188,13.55875522,15.68939977,14.19107791,14.02050679,14.66741974,11.20324997
hsa-miR-181a-5p,13.6915069,12.21610569,14.71889315,14.12105879,14.14018897,12.0540774,14.589788,12.98874499,11.78052975,15.73845024,12.99686611,13.96608076,13.39382096,11.83421665,11.64793787,13.726959,13.06123928,12.65200557,14.23066401,10.35460558,9.360695106,9.859584535,8.159052032,8.457666429,8.154551637,18.52779676,18.89075679,19.00278709,17.00447824,18.79054581,19.23298052,9.857558218,9.360695106,8.159052032,8.457666429,8.154551637,15.50530919,12.5222268,11.89078821,12.48441633,13.29937138,12.74375121,12.17049882,13.85067645,11.80333911,12.49577628,11.99378437,12.61058784,11.78551096,12.28039463,13.81839163,13.87977859,13.65007006,13.80840029,13.72232669,11.51673979,12.69240485,13.3771841,13.52877707,11.70569707,13.50602728,13.66117725,12.66290526,14.74883969,14.19208781,15.03232421,7.677177862,5.671681915,9.640045845,4.735964068,8.810403945,7.156765736,6.474225973,5.052839551,5.660589169,8.06922558,5.268806749,7.637445233,5.051524559,4.978687145,6.25236238,7.19469161,6.239139498,4.351584241,9.669007951,6.324267729,6.427523552,5.399807637,4.195068074,5.05174413,7.137365413,7.609210981,8.076038622,7.886224113,8.227201313,6.916393075,8.10966056,5.338395231,6.424783316,7.551320132,9.554776378,6.120957059,6.19783861,5.47463223,8.544291741,6.836616802,5.606545207,5.798668452,8.555385238,8.805842404,4.830901235,9.009731878,5.851637042,6.835289284,10.25462199,6.6971446,9.845108551,5.561838084,9.707952855,9.797593349,8.78024222,5.247214377,5.69692554,6.001631381,5.550522383,8.832006278,5.890357435,6.680608738,9.611658222,4.450045966,6.675048705,5.307143623,8.648349426,9.159748941,5.277404261,5.591514167,6.986015153,6.790964126,7.556378503,6.885850875,5.752912767,4.828267313,5.377993002,6.510820655,8.491532445,6.759269373,10.38109234,7.308412855,6.390133661,6.4256797,-4.121175212
hsa-miR-486-5p,-1.228205039,6.003888825,2.953061401,4.591317119,2.975598025,8.295546125,0.956146351,9.46350017,4.835990143,1.360733221,4.697976659,3.156695278,7.518479181,7.807274397,8.562084168,0.595342523,-1.003544857,8.220247517,5.327669783,-4.577468404,6.070761773,7.002087695,5.522897217,5.519691451,5.290812034,20.8347543,20.78714146,20.91862129,20.90103995,20.86028235,20.46148879,7.002087695,6.070761773,5.522897217,5.519691451,5.241590406,19.49311203,17.89283229,17.58224411,18.41122573,18.58332391,18.40070586,18.03405577,19.01067716,18.47965971,18.39133159,18.37136139,18.16228333,17.64668817,18.12341258,19.01508482,19.23076912,19.09962268,19.20957354,19.19938873,17.58125651,18.2245242,18.61072204,18.58778532,17.92789586,18.52622531,19.06209161,18.37158478,18.95856681,18.59036285,18.88202895,7.247128869,5.599559951,5.433020136,7.272023871,4.825716994,8.112597036,4.969485587,7.536772324,4.505586485,6.917168874,3.620830381,8.807740885,7.066310211,4.548296742,5.918476778,6.550106534,-5.207568436,6.555615445,4.407806882,3.46164671,8.664985567,6.097174135,6.022241692,7.961946029,6.111204202,7.010259972,8.428931398,6.376385342,9.575749729,4.259775274,5.85492892,4.035369016,7.047918862,5.104810911,4.919901582,6.041915475,5.628947448,5.248182592,6.368284855,6.795802758,6.930833259,4.056959699,5.319752465,5.157690912,8.200292211,5.097092607,7.409071666,5.355157353,6.219893769,5.291377091,6.404024999,7.20760169,7.585556655,6.380796901,6.002883654,9.352652085,4.830598427,4.424313908,6.06897044,4.502366742,3.905987415,4.800088209,6.220728016,3.515438821,7.38420194,3.700028797,5.464931487,7.688300631,4.222749773,7.103354687,3.947182161,4.383383658,4.758223458,6.044032664,4.626899507,4.985085485,5.914046006,6.510820655,6.239894621,-5.18859945,6.068198325,7.084360517,4.719599046,6.872187289,8.943767119
hsa-miR-191-5p,11.54979502,14.71086637,13.59314481,13.9989973,13.30187939,13.75179613,13.69448936,13.44631255,13.22470402,13.56856099,14.03344877,14.87873544,14.42280523,14.25829568,14.43420044,14.64900352,14.92859562,14.27073428,15.63070846,14.66907192,11.78547668,12.40787149,11.22967453,11.60390372,11.48833561,17.36745266,17.3105841,18.60848896,15.74564727,18.22638959,18.46699017,12.40713471,11.78547668,11.22967453,11.60390372,11.48833561,13.26368374,11.31029091,10.37454822,12.13937322,11.85386411,12.21677821,11.45837047,12.47559732,11.34380864,10.9591211,11.22017413,10.48313885,10.46285345,11.45725257,12.4548124,13.39802416,12.96122037,13.30107566,12.67509704,9.830993925,11.12744587,11.70307918,12.11432059,10.96143781,11.80957275,12.72209353,11.39470128,18.28258993,17.60602029,18.20964671,15.72597994,14.86295235,14.28209202,14.31922874,14.48680135,14.47030337,13.87693405,13.81518352,13.80607352,13.83565299,14.00547891,15.15102545,14.30530265,12.98036821,14.10858341,14.48791213,13.22729075,14.82737418,14.17892915,14.17590963,14.73480023,14.72212692,14.20672625,14.94920183,14.16011576,14.1476056,14.93072382,14.21587358,14.47804808,13.74894661,13.27547288,13.23296546,13.85640767,15.37491812,14.90203496,13.99338723,13.412067,14.43196729,14.45913414,14.44456772,13.5592949,13.00575191,14.01730146,14.75078508,13.75886313,14.25176994,14.47754522,13.90972112,14.4133271,14.06909936,14.94159707,14.42529365,15.33913764,14.17710899,13.8202882,13.44701983,12.80796575,13.92715046,14.58236821,13.47270983,13.60708669,13.37474084,14.237845,13.84320744,14.18718062,13.1262871,13.97924203,14.48255294,13.57510909,13.41783564,13.05668155,12.78722118,14.17422817,12.96242708,12.7997007,13.31230099,12.72595313,14.07744065,14.46429063,12.97240379,15.07591063,13.83777612,14.16663244,13.79113013,11.91241349
hsa-miR-10a-5p,13.67499369,14.88901658,17.08954011,16.34934791,15.92503493,16.44800124,17.01517941,15.93296732,16.1043135,17.06979,15.64555212,17.24829453,16.23354449,17.36441105,17.4605567,16.58873862,16.95955224,16.73504865,17.29350592,-4.577468404,13.46848197,14.02614916,11.23786895,11.52914294,11.48538136,9.693870636,9.109222218,9.717405685,6.796520936,10.34114503,12.02920366,14.02588142,13.4682417,11.23786895,11.52914294,11.48538136,7.444173832,6.259744973,1.770527853,4.110172191,4.25385573,4.406586042,3.381536773,5.116612965,5.950423626,-3.357584089,3.500277276,3.888113821,1.183730596,2.51011766,4.936788337,4.872404993,4.059479153,5.882765851,5.704098723,1.610270883,4.112470955,4.168479628,3.621282513,1.546307679,4.250431252,4.271509983,1.349532744,6.579178815,6.082697964,7.325870689,15.51622487,14.83107532,13.80960313,13.93677147,13.97526828,14.2050297,14.34956311,14.49564395,14.58784627,14.27241516,14.79613171,15.0977548,14.58754499,13.51573916,14.0494673,14.74154957,14.11509642,14.53687718,14.05595246,14.30897063,14.03214207,15.25253398,14.31430723,14.94202536,14.59612855,14.66745225,15.29747516,13.033458,14.34914333,13.7376915,14.05929266,12.91471774,13.91210552,14.70290583,14.17187311,13.85741875,14.60811765,13.99678256,13.10427659,14.29017569,13.93403897,12.14110693,13.41743891,14.5334168,14.00770667,13.57484606,14.92109972,13.92718887,14.41828127,14.82128235,15.01001048,14.27888927,14.85162991,14.69596164,14.98677097,13.63871976,14.35544543,14.24337369,14.40772954,13.86050866,14.10234633,14.20874665,14.37982183,13.97768541,14.50497762,15.13106063,13.97945065,13.82616373,14.1869482,14.47629964,13.95082746,13.11971972,14.61436448,13.7350417,13.49412851,14.43449029,13.61217792,13.58030916,13.95164487,14.03710324,13.68953846,14.71809242,14.13217432,14.76063928,14.48657493
hsa-miR-10b-5p,14.37775607,11.82704293,13.14952594,15.35180677,16.67080511,15.30320143,16.75143858,12.47430925,14.39296948,12.43005026,9.567867035,18.40623132,16.88575984,16.79176486,16.34906915,17.79258761,17.23825754,12.30451063,17.24643671,-4.577468404,12.43672161,12.98252345,11.23241094,11.41179536,11.39190765,-6.817691359,-6.544471612,1.092833199,-5.315317881,-6.90703448,8.850099235,12.98252345,12.43672161,11.23241094,11.41076153,11.39190765,-5.077215311,2.049796575,-3.15398837,0.683714417,-3.89959987,-3.701150267,-3.138088086,-4.07569507,4.375099662,-3.357584089,-3.331743679,-3.434941667,-3.096665973,-3.38034997,-4.577468404,-4.903499393,-4.708117961,-4.760097714,-4.30500728,-3.337143729,-3.872402671,-4.568141068,-4.272594363,-3.409977493,-4.462330942,-4.259418591,-0.16018736,7.119814111,-7.04012982,-7.112861251,15.14298688,15.04730613,13.77253695,13.39987838,13.44403279,13.7002561,13.20367951,14.62271763,14.46725818,13.40860015,14.386666,15.16490361,13.74611429,12.91819316,13.72705837,14.96823128,13.92038147,13.73790481,13.71288921,14.0414755,13.71310466,14.12698628,14.39716367,14.2834375,14.55966316,14.34976456,14.49634397,13.75372893,13.44907795,13.51653363,13.0372136,12.77679911,13.24171868,14.77740702,13.49577639,13.58503862,13.60078318,12.8442925,13.47397404,14.48851307,13.41363465,13.11821559,13.46056237,14.07985692,13.54926503,13.57675812,14.81420639,13.4931029,13.42700102,14.62176265,14.61106675,13.90489019,14.99734841,14.60529782,15.26479877,13.56655745,14.36806546,14.54124723,14.14319978,13.54568835,13.76705094,13.84821425,14.12249332,14.39904912,13.63235964,14.21203481,13.481696,14.0078637,13.77770009,14.01450111,13.44585497,13.01965976,14.17929063,13.22998772,13.08890194,14.27254146,13.80184181,13.49872665,13.21336072,13.43886325,13.56295002,13.49282455,14.19581135,14.66353062,11.83771406
hsa-miR-100-5p,16.35362092,16.60479274,18.21738525,17.85680684,18.17912555,17.91928763,18.19185145,16.33338074,17.15252674,18.49860601,17.66831572,18.44651167,18.96242648,18.5552474,18.13026215,17.97759728,16.53236522,17.28646907,18.91713389,-4.577468404,9.519899918,10.04856755,6.990931527,7.772005235,7.622391464,9.666207324,-1.384009639,2.106292953,8.813925594,10.52874131,12.1269459,10.04856755,9.519899918,6.990931527,7.772005235,7.622391464,-5.077215311,0.036886949,-3.15398837,0.683714417,-3.89959987,-3.701150267,-3.138088086,-4.07569507,2.569994615,-3.357584089,-3.331743679,2.038488707,-3.096665973,0.92892938,5.507134624,5.539679312,4.64273993,4.271227975,4.236307441,-3.337143729,-3.872402671,4.534503976,-4.272594363,-3.409977493,1.139016052,4.768416616,-3.63305617,9.628295446,9.859381959,8.800659998,13.49678215,13.43659943,12.18999451,12.35644959,11.6396476,12.1759021,12.07136254,12.92496225,12.65362208,12.12661084,12.68249569,13.016131,12.52463397,11.52611937,12.22779375,12.50043884,11.74603736,12.27164511,11.88726103,12.48295205,12.02009297,12.34305375,12.41691236,12.57812592,12.68082235,12.77259904,12.64343529,11.2223135,12.08938418,11.60987862,11.30037364,11.45164081,11.73499186,13.32255081,11.78956485,11.86547597,12.05296867,12.06506814,10.56674816,12.59156505,11.96645966,10.81569688,11.53866327,12.41763461,11.84713081,11.27620124,12.64067243,12.03458106,11.81214678,12.8597106,13.19157339,11.804012,12.30143406,11.96335379,12.40464056,12.42578796,11.33000965,12.61294504,12.77253617,11.46346957,12.47669425,11.88877509,11.96017943,12.27500625,12.03990089,11.98276002,12.3894626,11.7899567,12.20123355,12.64870882,11.64863267,10.67749321,12.69784699,11.32132438,11.40516754,11.84234218,11.19842559,11.7042638,12.22510609,12.04168087,11.16788924,12.07253598,11.96782628,12.11494305,10.80620014
hsa-miR-27a-3p/27b-3p,14.71822789,12.98127915,15.63953544,14.92354409,16.12113847,13.75115813,16.60858683,15.02444458,13.53741288,15.77588094,13.80968381,15.43070179,15.1902968,12.85250546,12.95893131,15.61592144,12.81058602,14.93794556,13.548344,-4.577468404,11.04197595,11.35708339,9.297335135,9.627216059,9.656482242,14.23899581,14.50925988,15.43970876,12.90604711,14.66325009,15.94743805,11.35636462,11.04197595,9.297335135,9.627216059,9.656482242,10.53671996,8.525806113,7.934242133,9.336237712,8.93291365,8.950765632,7.787380702,9.083496148,7.543414158,7.955896837,7.998592351,7.70227336,7.17993071,8.548669088,9.986230135,10.79694765,10.29093373,10.49099603,9.737360067,7.489105737,8.469303261,9.308587641,9.217222409,7.839188031,9.446223597,9.453453573,8.350863514,12.86513022,13.12725331,13.09447172,11.47555588,11.63133708,12.1231405,10.84072063,11.88555324,10.77725736,10.72577721,10.94348657,10.57832516,11.02747591,10.47490461,11.41330992,10.84315389,10.40257102,10.86801404,11.45020879,10.86492527,10.43761161,11.44583624,10.84801331,10.96478472,11.69535954,11.32509294,11.0259525,11.48352758,11.01486277,11.70335178,12.85213557,11.50357868,10.97618599,10.80054097,10.33242609,10.88090847,11.5210953,12.02752014,10.93503505,10.86768615,10.65832269,11.61037981,11.56749678,10.72886236,11.10689291,11.5376581,11.67516093,10.65225411,11.55939135,11.2671567,11.22678074,12.31257797,11.05062872,12.3942481,11.19276754,12.39242547,11.88837043,12.76735017,10.52563788,11.30355277,11.58631691,11.25710837,11.80896805,10.67241092,11.29451566,12.01241878,11.50522661,11.0716521,11.36271944,11.55081444,11.43144943,10.65985568,10.58207278,10.38228108,10.66072427,10.69977996,10.41191512,10.39321503,10.71766314,10.86050848,10.66149181,11.13638315,10.54409927,12.54340206,10.98704456,11.11036772,11.24669417,7.654751971
hsa-miR-146b-5p,2.379034237,10.25085874,7.367728118,7.668932745,6.414196306,6.842833517,4.590857297,8.363083655,6.255861334,4.458727555,1.85850532,9.525464428,9.337709533,13.06934968,12.0957274,9.472892655,9.191127574,13.59253804,15.86178665,7.573362976,11.59605284,12.26305531,11.770781,12.25230142,12.22271338,9.758073052,9.833322793,11.31346833,6.704396483,10.3107437,10.014777,12.26305531,11.59605284,11.770781,12.25169644,12.22271338,6.371452617,5.95410359,4.30978531,5.79016813,4.806135467,4.406586042,4.322086658,5.93731347,5.772067683,-3.357584089,3.500277276,3.417233005,2.328003885,3.184724462,4.411908828,7.04279026,6.280768575,6.14738279,5.55753008,3.742497837,4.112470955,5.718047765,5.163319022,5.878482289,6.979007861,5.07876991,4.749229554,10.30700955,10.4400112,10.98428362,14.5758951,13.79920495,13.69636176,13.18486211,13.41556904,12.89053778,12.80825687,12.87364941,13.03690512,12.85015325,12.2778399,13.3722705,13.13127466,12.279424,12.73109718,13.16195061,12.00747924,12.70206049,13.87269801,12.55383327,13.16798426,13.35918853,12.94087261,13.42879734,13.26268572,13.04124782,13.94942369,12.4525973,13.68593348,12.24644943,13.10187368,12.32178686,12.51261253,14.25069258,13.18154951,12.69640998,12.8663813,12.68927152,12.31951514,13.02546888,12.34815667,11.2396436,12.47849763,13.21594377,12.47630421,12.94895306,12.99433043,12.31758342,14.07197108,12.92847246,14.58004118,12.80977062,14.09845344,13.66793995,13.20334117,12.56853747,11.56973148,12.75336603,12.72163577,13.05692822,12.92713559,12.32172299,13.57766144,11.96202308,12.93418313,12.38231599,12.74998398,13.37302113,12.51857208,12.83988496,12.05814859,12.22227051,12.70920142,12.24623931,12.03919573,11.74762952,12.09212053,12.70848002,12.63828798,12.72972072,14.03995708,13.26460475,12.94788484,12.79766811,12.64876762
