miRNA,DRR041353,DRR041355,DRR041363,DRR041364,DRR041371,DRR041376,DRR041385,DRR041392,DRR041393,DRR041397,DRR041398,DRR041406,DRR041413,DRR041414,DRR041419,DRR041428,DRR041429,DRR041434,DRR041442,DRR041447,DRR041448,DRR041449,DRR041462,DRR041467,DRR041473,DRR041474,DRR041482,DRR041487,DRR041488,DRR041493,DRR041494,DRR041500,DRR041504,DRR041505,DRR041507,DRR041511,DRR041512,DRR041516,DRR041517,DRR041519,DRR041524,DRR041527,DRR041528,DRR041530,DRR041536,DRR041537,DRR041543,DRR041547,DRR041554,DRR041555,DRR041556,DRR041562,DRR041565,DRR041567,DRR041575,DRR041576,DRR041577,DRR041578,DRR041584,DRR041590,DRR041592,DRR041599,DRR041606,DRR041611,DRR041616,DRR041619,DRR041620,DRR041626,DRR041631,SRR1044598,SRR1055961,SRR1055962,SRR1055963,SRR11459553,SRR11459554,SRR11459555,SRR11459556,SRR11459557,SRR11459558,SRR11459559,SRR11459560,SRR11459561,SRR11459562,SRR11459563,SRR11459564,SRR1200834,SRR1200888,SRR1200890,SRR1207050,SRR1207051,SRR1207052,SRR1207053,SRR1207054,SRR1207055,SRR13401179,SRR13401180,SRR13401181,SRR13401182,SRR13401183,SRR13401184,SRR1664893,SRR1664894,SRR1664895,SRR1664896,SRR1664897,SRR1973407,SRR1973408,SRR1973409,SRR1973410,SRR1973411,SRR1973412,SRR1973413,SRR1973414,SRR1973415,SRR5127202,SRR5127211,SRR5127215,SRR5127217,SRR5127218,SRR5127222,SRR5127232,SRR5376350,SRR5376351,SRR5376352,SRR5376353,SRR5376354,SRR5376355,SRR5376356,SRR5376357,SRR5376358,SRR5376359,SRR5376360,SRR5376361,SRR5755825,SRR5755860,SRR5755895,SRR5755902,SRR5755909,SRR5755916,SRR5755923,SRR5755930,SRR5755937,SRR5755944,SRR5755951,SRR5755958,SRR5755965,SRR5755972,SRR5755979,SRR5755986,SRR5755993,SRR5756000,SRR5756007,SRR5756060,SRR5756067,SRR5756074,SRR5756081,SRR5756088,SRR5756095,SRR5756102,SRR5756109,SRR6837863,SRR6837864,SRR6837865,SRR6837866,SRR6837867,SRR6837868,SRR7001333,SRR7001334,SRR7001335,SRR7001336,SRR7545527,SRR7545528,SRR7545529,SRR8137037,SRR8664489,SRR8664490,SRR8664491,SRR8664492,SRR8664493,SRR8664494
hsa-miR-21-5p,13.44028878,14.84692127,18.319146,15.94893545,16.90642694,17.96641332,16.82917632,15.96309072,15.21931601,17.32328608,16.93712223,15.93204163,17.41310969,17.7078177,16.25159634,17.92172517,17.89637902,16.12209092,15.79079006,17.4153991,15.96463208,16.45575503,16.67704583,17.30977316,18.17333426,16.74219067,15.30355483,17.15621407,17.0979243,18.08582961,17.22145747,17.656756,16.20906497,16.40180158,17.45674325,16.98757491,16.60068847,16.50181158,17.92502414,16.46657221,17.14334235,16.51816047,14.82856172,17.25265252,16.53579585,16.50792434,15.1024445,14.76271864,15.8767131,15.14609032,15.49288869,15.23413365,14.32249589,14.97503362,15.8683101,14.38902054,15.19095408,16.7343329,15.03921325,15.44303132,15.70690757,15.18282034,14.85173862,13.90339389,15.26065029,16.81908566,15.63479949,14.44219714,14.65127152,-4.577468404,16.83360966,17.60021875,17.1102837,17.80558215,18.05798428,18.03817277,18.03482057,18.27994864,18.31072712,18.27367158,18.36878315,18.25311898,17.72192874,18.50007892,18.38276477,17.49962094,17.19920783,17.47693212,16.61803405,17.91767193,16.75004805,17.56905161,16.36240286,16.63838579,19.25531314,18.27959637,18.84442126,19.3432244,19.41849068,19.03185267,13.75802964,13.8176467,15.18662571,11.5116457,13.97720179,15.86044541,16.14449352,16.21932694,16.21935175,15.36102023,16.19313279,16.70126253,16.59354427,16.67648489,16.93280241,17.84632731,18.10823248,18.25257876,16.68569611,17.65147015,16.38892997,17.03961587,16.91091038,16.61968135,17.30085963,17.00767092,17.14872303,16.64478286,15.77283997,16.81940019,17.17241565,16.93954866,16.19265818,12.02146834,9.819972896,9.389955968,10.09571767,9.61343757,10.45228879,9.238743951,10.67738631,9.291105621,9.222029221,9.464920191,9.569411122,8.335747451,9.629832719,11.52294975,11.61395034,11.54365529,11.57078217,11.43474402,9.888570312,10.13479333,11.00180974,10.7516761,9.988701778,11.24104421,11.06048894,10.31841881,13.86868887,13.76675273,13.61372529,13.73578915,13.98046226,13.82120861,16.82537088,17.25016535,17.33046303,17.46001752,14.45107105,14.5968582,14.86727489,16.45401054,17.22085513,16.93293413,17.24900924,17.49495002,17.07065036,17.20291207
hsa-miR-92a-3p,13.05290394,12.35992303,14.41644964,15.37167401,14.45307395,14.61038886,14.27642186,13.35344796,14.90032566,15.03595104,14.26712027,15.28913865,15.03103084,13.89495076,15.07620969,15.74075345,14.05953325,15.50291747,14.56858965,13.12515047,14.98375091,13.28486062,14.34053451,14.29012559,14.46229971,14.02007411,15.2263283,14.53618094,14.32399533,13.29022656,14.00548214,13.87398964,14.79112782,14.03873514,15.29388503,14.49675084,14.38856253,14.36994548,13.47466826,14.2437033,16.83222823,14.07918183,15.42692153,14.12260673,13.64951116,14.95903314,15.26658138,14.9720896,13.72014692,14.80337912,13.20091686,14.2454082,14.35871231,13.13943605,14.52153445,15.91224518,15.71128418,14.26315596,15.21793003,13.36935775,13.97358472,14.05575872,13.36486873,13.07873523,15.34276676,14.55552254,15.20025003,11.73155585,14.08250193,15.57086647,11.70349431,12.33071585,12.17387195,14.58985829,14.41956879,14.81295001,14.89290505,14.35790854,14.45737305,14.79096276,14.8093628,14.86768796,14.12851451,13.94282623,13.91707636,12.82317405,11.05321624,12.30995574,11.28145829,12.62553867,10.83308754,11.4102006,9.935545753,10.7360917,12.38859563,11.05217622,11.7494177,12.46667105,12.81849398,12.09387172,20.05643926,20.29076898,20.46996098,19.91563241,20.33588686,15.43792716,15.39492425,15.75864329,15.55878,14.45292195,15.4538541,15.89798389,15.63829308,15.05143644,15.67494486,14.65037008,14.56684928,13.90759628,15.38225797,14.72864508,19.79182961,15.09439096,15.79225304,15.11952198,16.04748541,15.09906865,15.80593874,14.55883463,14.69432477,15.25111568,15.88763081,15.11921763,14.15051907,17.11806223,14.42007468,14.82577987,15.44857565,15.60278164,15.10448373,14.47044065,16.21764775,14.83820266,14.92342165,14.85735674,15.39849166,14.51388002,15.12554881,17.03273631,17.11412698,16.87985951,16.81147626,16.25657269,15.02773449,15.63587579,16.4834343,16.09282264,15.53698728,16.63114693,16.01370657,15.43097114,15.0082892,15.14478114,15.1182767,14.87044362,15.1421207,15.23300028,15.51944289,15.25526423,15.75007432,15.32152845,18.41484377,18.52605814,18.67855095,10.23443504,16.58562284,16.54652272,16.13408562,16.38434613,16.41912037,16.69604229
hsa-let-7a-5p/7c-5p,15.85954078,14.84648869,17.15876512,16.06518291,16.05911049,16.95972353,15.30291855,15.65876628,16.96814973,15.34561553,14.41418401,15.69394189,16.05618539,15.98378955,14.68312899,16.41239811,15.9649457,15.85803015,14.99359495,17.15886107,14.79885129,16.19201534,15.37791922,15.98517645,16.82808816,15.45982429,14.7329165,16.1479428,15.40209978,16.77866684,16.53387038,16.10088033,15.1827968,16.29364127,15.91347588,15.87624003,15.96125388,16.50259017,16.94689638,16.60646211,15.96635333,15.95241317,13.77217172,17.78100565,17.38636775,15.60560373,16.15190441,15.55318397,17.28038092,14.5120812,16.13028983,15.51920913,16.43207852,15.46778188,16.85259324,15.72757716,16.44986758,17.48360027,15.56772417,16.38466027,16.99869492,14.69183906,15.09212596,14.38388974,15.70493517,16.15767282,17.81122794,17.07337931,16.21985959,16.58238954,20.0475798,20.20407733,20.18547796,17.66415509,17.30728774,17.43469379,17.5569355,17.41206906,17.57591099,18.07820244,18.09496633,18.03146755,16.66223175,17.74005922,17.41634763,20.33696479,20.07806868,20.406146,19.90177156,20.33890523,19.95301802,20.2464238,19.84244016,19.8337995,16.06989777,14.76864581,15.51226599,16.172931,16.52307958,15.86797207,18.21416687,18.68156726,18.96021645,16.76468055,18.299736,12.668935,12.57207913,12.97705648,12.59512809,11.61559098,12.748056,12.84751276,12.78643814,12.78186657,15.95867789,17.5681253,16.50426856,16.68231762,16.4364164,16.1009636,18.44862815,16.16733235,15.97133676,15.81516576,16.61876501,16.57706301,16.8334329,15.8317089,15.24803925,15.82633987,16.4575351,16.18888427,15.85207516,14.50113968,12.21411008,13.36611004,13.40257219,13.53031988,13.60361191,13.18910965,14.348872,12.77157069,13.15527554,13.25776601,13.48785066,13.27229534,13.45467155,14.70045152,14.71028753,14.35714081,14.2111578,13.90124254,12.70462941,14.05547616,15.01894345,14.83332296,14.08381556,15.20347474,14.3711102,13.73057815,13.54499918,13.78008865,14.00685428,13.86756729,13.93487748,14.00537652,17.47282188,17.39159585,17.2664971,17.33061102,17.10649,17.49257078,17.53116811,11.63428757,17.64999356,17.6767798,17.21266233,17.40359789,17.55126203,17.49867624
hsa-miR-22-3p,15.13540546,17.22751606,18.00078235,16.81151438,17.29221575,18.14442006,17.54879663,17.06987538,17.64499504,17.62748448,17.03229961,17.16114614,17.72885038,17.45433771,16.31464178,17.48080579,18.23515068,16.81473652,16.51354753,18.12816808,16.03599263,17.26853756,17.01632182,17.51146383,18.47096604,17.38324903,16.66156836,17.0129481,16.98390617,18.50971639,17.66640136,17.92272095,16.7198795,17.71198136,17.48691625,16.94686196,17.37907102,17.38828328,18.36878156,17.71485629,17.45653404,16.99528159,15.92882296,17.69672771,17.05780791,16.37509994,15.53487858,15.29151535,15.36703892,14.37053759,16.47125459,15.45503612,15.14715478,15.70780771,15.85171635,14.9220605,16.12607814,17.82689557,15.84484911,16.16269551,17.09858844,15.08188736,15.38615498,14.65662029,15.78460591,16.69457891,16.85370189,14.89164325,15.44864018,15.07608762,12.35891808,11.92962864,12.29157522,13.91724993,13.94051707,14.74393408,14.52483523,14.34794516,14.48855625,13.77804623,13.7835898,13.98811785,14.17712881,14.38416266,14.35305075,11.44312858,12.10020325,11.118348,12.63350453,11.94046928,12.02822823,11.3947023,11.39645777,10.37443143,13.07352034,11.69727708,12.29124868,12.99147311,13.35578948,12.89330889,18.09367783,18.68181558,19.07946083,16.94326616,18.40420933,15.21538057,15.03414953,15.44863584,15.53602375,14.79605799,15.36938465,15.52952498,14.90484284,14.47971745,17.27656383,18.01936549,18.22894515,18.06046505,17.9746669,18.08680999,19.37683471,16.83189776,16.99549203,16.13384925,16.84952719,16.89755444,17.2225911,17.09008124,16.36870669,16.84617454,17.35589255,16.97476343,17.00298626,16.40642486,13.64658018,13.3352082,13.97678399,14.51907769,14.20604503,13.66275611,15.05364715,13.86801009,13.79543296,13.67779334,13.44502819,12.24709014,13.18154546,15.2300531,15.73085585,15.72580542,15.93670886,15.64843617,13.94972559,14.0645579,15.03082509,15.1977045,13.50642705,14.87022229,14.81922827,13.93212323,13.35813217,13.43587803,13.3568419,13.97711467,13.46474173,13.49083545,18.03207451,18.25308781,17.61987832,18.06743471,17.52650804,17.21555868,17.51296531,10.61287472,18.8822002,18.79381656,18.82762206,18.87182487,18.93114535,18.92514603
hsa-let-7f-5p,14.09064585,14.0221359,15.44401648,13.94009753,15.11748503,15.83989683,14.92494268,14.54703302,14.87778774,15.56711539,14.39857205,14.78778192,14.97310676,15.20057041,14.5522849,15.44795582,15.44998699,14.75754007,14.20985129,15.68295551,14.05043292,14.51930193,14.76814126,15.37338793,15.76285288,14.92400939,14.60949078,14.61336987,14.90944715,15.61685433,15.01798311,15.56035907,14.97359322,14.83177772,15.32578877,14.44843657,14.72443185,14.62049081,16.04529863,14.57293818,15.80062182,13.66110895,14.81277572,16.45935934,15.92309023,15.18191543,14.84902834,14.57262923,15.60641122,14.57211609,15.22069835,14.78307421,14.44900179,14.26148649,15.33760758,14.47023876,15.01562685,16.38477995,14.91422991,14.70352728,16.26824586,14.12930923,14.09913392,13.58837786,15.21909574,15.68132581,16.3766045,15.19392041,14.5934456,17.27275698,19.18766998,19.21682629,19.55557871,15.7994044,15.79052959,15.84688833,16.09397978,15.83975527,16.03636312,16.53084482,16.62354081,16.47699647,14.91776361,16.57209948,16.22845174,19.46145677,19.43311579,19.40988064,19.04058397,19.45576563,19.19695616,19.52967598,18.97593488,18.89134445,16.37834406,14.97885988,15.71439953,16.53934101,16.78695053,15.99415021,19.11428224,19.22744439,19.73355243,17.11788431,19.05106264,10.4357384,10.38579174,10.11295936,9.711044571,8.656669565,9.72788996,10.05554835,9.892211747,9.811708311,14.9939645,16.58788264,15.30808477,14.89823933,15.03478194,15.29347117,19.3312175,15.09427157,14.77421649,14.71741349,15.12221559,14.88579575,15.13981696,14.88770601,14.44517472,15.07538602,15.49781762,14.72273912,14.45742507,15.73485101,13.89714487,14.71389086,14.84485996,15.00306238,15.0283926,14.36017607,15.63136873,14.22535788,14.55772537,14.49738626,14.86182855,14.41017058,14.86125958,16.41617899,16.46479838,16.03671054,16.08553452,15.84695595,14.0162548,14.87160561,15.81878343,15.72041429,15.15847279,16.16064942,15.76387498,15.21921622,13.98086222,14.17953208,14.28605605,13.98228075,14.18092191,14.29442493,15.33862063,15.42391918,15.11257585,15.26977651,17.91743854,18.03228879,18.09663392,12.79034631,17.74554377,17.90191526,17.65918982,17.77221298,17.79936894,17.54455847
hsa-miR-26a-5p,12.88161283,14.57517552,15.25508749,14.24722849,15.13102418,15.54845866,14.53751184,14.12735499,15.94000265,15.72426295,13.92436865,14.61113851,15.43781906,14.76975343,13.96249304,15.82301218,15.24850886,14.74481161,14.05505537,15.73934564,13.92113877,14.52107924,13.69981939,14.80238597,16.05273003,14.42323366,13.9892512,14.50219545,14.34398444,15.99424581,15.0616139,14.99298036,14.53780131,14.13081798,14.77643812,14.167731,14.49363843,14.14158868,16.08707741,15.62330141,16.83860602,14.11743409,13.11714954,16.21086125,15.38844182,14.89929929,13.94351923,13.73348293,13.94146127,13.08926388,14.16859938,13.87946831,13.14581885,12.80421527,14.31225908,13.25766323,14.3411842,15.9058376,14.25961463,13.95691648,14.4600404,12.83999557,13.1935961,12.86320684,14.22009451,14.46002363,15.8366016,13.45913235,14.35871747,14.77538106,12.48070098,11.99543828,12.36259407,15.10658471,15.47685856,15.60613274,15.60628377,15.41052374,15.68621509,15.09717679,15.17205132,15.06171736,14.9808532,15.68478858,15.40633123,11.97194494,12.44928985,12.30095478,11.74285985,12.14971842,11.97012562,12.10513001,11.82656882,11.35789685,16.56375201,15.44223168,16.03760105,16.8087225,16.90949028,16.60343784,16.51053695,16.86643054,17.98457103,14.92151552,17.15755928,15.46089378,15.12252043,16.43768036,16.09555274,15.15181456,15.9394404,15.98652658,15.51667439,15.50836194,15.05107659,16.65002259,16.81529243,16.11203414,15.40438352,15.99528776,18.43498988,14.74686335,14.77453893,14.30883501,14.75542111,14.77937285,15.20994489,15.08175715,14.50737655,15.21596458,15.83332687,15.2632747,15.15412448,14.83610608,12.59085169,12.23098268,13.04396573,12.92423935,13.45734035,12.86713495,13.70738422,11.95422492,12.15690148,12.67862448,12.28519779,11.80829,12.52873762,14.36196647,14.691315,14.49177401,14.55119662,13.80378278,11.77874721,12.57266233,13.4520687,13.23276281,12.12016561,13.45848985,13.83111009,12.49418863,14.21951427,14.33752966,14.20569703,14.21728276,14.36015633,14.35260449,16.03955107,16.07664257,15.60134236,15.80367162,17.74553203,17.39315777,17.93934069,13.49648438,16.96423991,16.87704401,16.70038465,16.71444782,16.83926098,16.8110584
hsa-miR-181a-5p,13.66297272,13.6915069,16.59650493,12.25901513,13.28093832,16.82017375,12.72302503,13.32895675,12.21610569,13.61919993,13.69238619,12.44142308,13.65497351,14.20414328,12.45900093,13.97145963,15.31021529,11.86523165,12.40095631,14.71889315,11.62021902,13.27604504,13.85425239,14.12105879,14.14018897,14.08207168,11.48658315,12.0540774,13.80878141,14.589788,13.95701939,13.98758505,12.98874499,12.75933051,13.70226908,11.78052975,13.4817495,13.23810823,15.73845024,13.33059441,17.37660151,12.99686611,15.29583142,13.96608076,13.39382096,11.35818142,12.73384029,12.2355408,11.83421665,11.56508563,14.84642157,13.36150715,11.42144763,13.0369035,11.64793787,11.14596368,12.72743488,13.726959,12.42075664,13.75195832,13.06123928,12.61078585,12.84249253,11.64728151,12.65200557,14.66972674,14.23066401,12.63940818,13.34142947,10.35460558,14.66745097,14.44069174,15.02713522,12.61184738,12.65331589,12.61985793,12.52658087,12.70430201,13.07206977,11.61609973,11.70592774,11.62425938,12.60689617,12.12229007,11.90602167,14.80651215,14.1695372,14.93584367,13.23513486,15.28544385,13.16845493,14.1498503,13.88220151,13.50504877,13.07670664,11.93400699,12.47071884,13.58362657,13.44086853,13.01951211,18.52779676,18.89075679,19.00278709,17.00447824,18.79054581,16.16218011,16.44788806,16.35449776,16.14990988,15.26607611,16.26499992,16.55507069,16.4486923,16.5477021,14.14439349,16.37284365,14.97186062,15.4457606,14.26797106,15.66902437,19.23298052,14.77798183,14.40233582,13.35100269,13.98742223,13.90909834,14.53887407,15.33360289,15.47630128,14.66501539,15.72085247,14.80563445,15.11157949,15.50530919,12.5222268,11.89078821,12.48441633,13.29937138,12.74375121,12.17049882,13.85067645,11.80333911,12.49577628,11.99378437,12.61058784,11.78551096,12.28039463,13.81839163,13.87977859,13.65007006,13.80840029,13.72232669,11.51673979,12.69240485,13.3771841,13.52877707,11.70569707,13.50602728,13.66117725,12.66290526,15.17235815,15.04590441,14.92661553,15.41685766,15.28353262,15.13951849,14.98018837,15.18199639,14.56534258,14.89033545,14.74883969,14.19208781,15.03232421,9.733051965,17.22780436,17.17209821,16.87377307,17.47299075,17.41539111,17.77589645
hsa-miR-486-5p,2.530418024,-1.228205039,10.11089809,1.168983312,6.726431163,7.3377879,7.291867487,7.530147724,6.003888825,11.15189265,2.201014568,7.66106887,12.33371608,5.400576279,8.407492461,11.53857578,0.517980844,8.742917882,6.278850281,2.953061401,7.419560134,-0.355057084,5.653153869,4.591317119,2.975598025,5.864877513,6.29448228,8.295546125,5.166921856,0.956146351,10.01224305,0.902493046,9.46350017,10.25415269,5.576891479,4.835990143,9.407873899,10.78474578,1.360733221,7.12466519,3.674068552,4.697976659,3.805914417,3.156695278,7.518479181,1.899146256,9.860989793,5.933883749,7.807274397,10.55741603,7.137549468,9.365152322,8.002532537,6.636966366,8.562084168,11.37569364,9.672944931,0.595342523,8.233291166,6.554403496,-1.003544857,2.665077351,6.121172107,0.94182176,8.220247517,3.569749186,5.327669783,10.2042326,10.02311139,-4.577468404,10.39490773,8.564651831,9.093632186,12.20553254,11.46669657,9.658237475,10.04717271,9.458973496,9.803368103,6.21934416,6.069532173,6.278517539,9.512188639,8.635357732,8.712518664,2.870344111,10.09219869,7.192212133,9.112225745,5.017029166,8.514493809,8.381133754,7.601138073,7.118744955,4.544596948,4.910646527,6.360353973,3.72846764,7.056635463,6.211646,20.8347543,20.78714146,20.91862129,20.90103995,20.86028235,9.324946007,9.018474086,8.62930046,8.794013497,7.713497545,7.27175672,8.821523347,8.839385886,8.396141757,10.43214527,7.765105132,7.583077866,8.255637035,13.29071942,5.00316769,20.46148879,9.047921757,8.51663629,9.668295784,11.02544008,8.077353199,8.88158449,12.94342163,14.05569781,13.04079795,14.63292837,10.72693412,10.89614852,19.49311203,17.89283229,17.58224411,18.41122573,18.58332391,18.40070586,18.03405577,19.01067716,18.47965971,18.39133159,18.37136139,18.16228333,17.64668817,18.12341258,19.01508482,19.23076912,19.09962268,19.20957354,19.19938873,17.58125651,18.2245242,18.61072204,18.58778532,17.92789586,18.52622531,19.06209161,18.37158478,10.86965659,11.20588902,10.65926822,10.21578062,11.03636655,10.90633656,10.76481954,12.68270549,13.15765875,14.48094856,18.95856681,18.59036285,18.88202895,3.23524231,14.96549852,14.90456307,14.88854065,14.49635756,14.77564908,14.43128103
hsa-miR-191-5p,12.58112289,11.54979502,14.82491752,13.89468793,13.59626375,14.48530457,13.58552034,12.88408442,14.71086637,13.90504985,12.74175916,13.54357191,14.12300463,13.69635737,13.20246989,14.2065322,14.40262584,13.79051803,13.5018887,13.59314481,12.92200544,13.12395662,13.1527029,13.9989973,13.30187939,13.6720405,13.22393452,13.75179613,12.41934167,13.69448936,14.0708728,13.78831386,13.44631255,13.71930038,13.94648454,13.22470402,13.84608984,13.69042479,13.56856099,14.1356494,13.80564888,14.03344877,13.60444435,14.87873544,14.42280523,12.69956537,14.14950149,13.9945089,14.25829568,13.63384335,14.1050953,13.29900244,13.66898485,13.90360992,14.43420044,13.596933,14.44262983,14.64900352,14.30801365,13.6744498,14.92859562,12.90502407,13.50695001,12.90619519,14.27073428,14.72803051,15.63070846,15.54376781,14.1176064,14.66907192,14.45481572,15.0955275,14.03038135,12.74147381,12.86185933,12.69196582,12.71179236,12.75749972,12.83521594,12.59351211,12.60525711,12.63263167,12.50705399,12.28551382,12.15687245,14.61044025,13.7704777,15.14354667,13.20015094,14.73325276,13.4089523,14.46277603,13.23649005,13.48833478,13.59258505,12.29245428,12.82764324,13.96999163,13.99829051,13.36668159,17.36745266,17.3105841,18.60848896,15.74564727,18.22638959,13.84215836,13.59332162,14.42555533,14.57087854,13.88472585,14.86797792,15.16025876,15.13085871,15.09950813,14.65531029,15.44457013,15.36441012,15.37492811,15.05735177,15.2111189,18.46699017,14.88335747,14.70716572,14.07658632,14.74322259,14.01041848,14.67609299,14.52782603,13.82970421,14.02996242,14.69793156,14.47966578,13.66041732,13.26368374,11.31029091,10.37454822,12.13937322,11.85386411,12.21677821,11.45837047,12.47559732,11.34380864,10.9591211,11.22017413,10.48313885,10.46285345,11.45725257,12.4548124,13.39802416,12.96122037,13.30107566,12.67509704,9.830993925,11.12744587,11.70307918,12.11432059,10.96143781,11.80957275,12.72209353,11.39470128,11.24454682,11.24667565,11.16806333,11.2569993,11.3984106,11.3087831,15.59752467,15.77406802,15.5735641,15.74680376,18.28258993,17.60602029,18.20964671,10.940621,16.50599093,16.48355341,16.16808869,16.04116258,16.21235203,16.30252274
hsa-miR-10a-5p,14.72797869,13.67499369,9.727617742,13.57950554,12.7702067,10.5683379,15.12515048,15.10427731,14.88901658,14.76982819,12.62264211,16.83141878,13.76558055,14.97822755,13.4496528,14.50230328,14.11650277,10.34533719,16.72915387,17.08954011,8.160078787,15.62506287,11.54494606,16.34934791,15.92503493,13.23593644,13.38400919,16.44800124,13.99963108,17.01517941,12.09237077,15.25929828,15.93296732,14.40861534,14.55436192,16.1043135,14.09987893,15.15144923,17.06979,9.797131544,16.62589502,15.64555212,11.16293228,17.24829453,16.23354449,12.9475086,9.583357501,17.36179827,17.36441105,13.5943119,13.06292117,9.002609996,12.77208349,11.50559146,17.4605567,14.55505332,16.6872706,16.58873862,17.2694658,16.58037119,16.95955224,13.33772153,13.48631889,8.816124152,16.73504865,15.00755023,17.29350592,17.59364521,16.05267917,-4.577468404,14.33415496,15.05843788,14.92734223,12.05336543,12.56056311,12.33395514,12.45305187,12.70749936,12.64511905,12.37482604,12.47934862,12.4144301,11.94463574,12.81430048,12.6854631,15.25140322,13.74866236,14.58282768,13.81720472,15.14371288,13.51424751,13.91429021,15.14501179,15.46699283,14.7127364,13.46279481,14.40021087,14.71727629,15.20505105,14.64464689,9.693870636,9.109222218,9.717405685,6.796520936,10.34114503,17.07473764,16.58815473,16.52960879,16.4929886,15.73404399,16.40409555,16.38322503,16.32053744,15.88232678,13.22930284,18.15638628,12.16203363,16.36792482,16.17007279,11.42758398,12.02920366,16.12988514,15.37326708,14.74941769,14.97876289,16.65529288,16.91484646,15.47706983,14.35188004,14.46642214,14.26767919,17.73317515,16.45975484,7.444173832,6.259744973,1.770527853,4.110172191,4.25385573,4.406586042,3.381536773,5.116612965,5.950423626,-3.357584089,3.500277276,3.888113821,1.183730596,2.51011766,4.936788337,4.872404993,4.059479153,5.882765851,5.704098723,1.610270883,4.112470955,4.168479628,3.621282513,1.546307679,4.250431252,4.271509983,1.349532744,13.70334582,13.47635688,13.49203394,13.24997049,13.6685102,13.64415217,17.04780874,16.91496957,16.86702856,16.658473,6.579178815,6.082697964,7.325870689,12.07778145,17.93570522,17.80308871,17.79264836,17.92692496,17.91052367,17.83839532
hsa-miR-10b-5p,-1.055463649,14.37775607,-0.138060345,10.5717826,12.216321,8.657399935,3.415229552,8.232786652,11.82704293,16.19857514,10.95985604,3.638940836,16.05014473,11.85301917,13.99187866,15.35101683,12.18973401,14.04060173,12.86485114,13.14952594,13.5578154,14.43277406,7.593998766,15.35180677,16.67080511,10.71289736,0.936294609,15.30320143,12.98873851,16.75143858,3.940846936,12.67985381,12.47430925,14.39244216,-0.008885985,14.39296948,11.52048,13.07379211,12.43005026,11.98625325,16.50383762,9.567867035,14.17214134,18.40623132,16.88575984,15.51570082,8.638537711,13.94653763,16.79176486,13.38221813,10.50903889,8.546554757,6.937613771,6.834650034,16.34906915,15.04559705,10.2683097,17.79258761,14.10600231,15.52142208,17.23825754,11.20610915,10.77870354,10.55448057,12.30451063,13.08198132,17.24643671,16.29091857,8.857532434,-4.577468404,9.862562565,9.294831658,10.7099831,9.831446736,10.35603066,9.351279167,9.502402412,10.27664135,10.2214681,7.763380415,7.800262817,7.71732643,7.283392838,8.345523147,8.181155368,10.18268359,5.938827221,6.836173989,8.690119681,9.3943532,11.70517308,11.2822656,10.19381525,9.024414726,11.29890598,10.18177823,11.04368387,11.19843961,11.65805594,11.28172779,-6.817691359,-6.544471612,1.092833199,-5.315317881,-6.90703448,15.23592065,14.68997914,15.02242452,14.62905957,13.55361076,14.66907479,14.86231695,15.43383225,15.01631357,14.98208787,14.47617061,12.82312924,13.07565328,11.75852886,13.14300441,8.850099235,14.52012906,13.35071077,13.12951178,13.7755697,16.14776139,16.42884585,14.97716275,14.60197558,15.30391016,15.83004468,17.04014457,16.05599338,-5.077215311,2.049796575,-3.15398837,0.683714417,-3.89959987,-3.701150267,-3.138088086,-4.07569507,4.375099662,-3.357584089,-3.331743679,-3.434941667,-3.096665973,-3.38034997,-4.577468404,-4.903499393,-4.708117961,-4.760097714,-4.30500728,-3.337143729,-3.872402671,-4.568141068,-4.272594363,-3.409977493,-4.462330942,-4.259418591,-0.16018736,12.28441299,12.03994983,12.06007533,11.48763582,11.92064581,12.13244242,12.85899448,13.1967795,13.43129338,13.48391792,7.119814111,-7.04012982,-7.112861251,11.93164439,13.78092272,13.58370375,13.57498482,13.94829287,13.9299445,13.88617145
